id,escolas_postos,bairro,endereço ,lat,lon
616,CIEP PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,"RUA CONCHAS, S/N",-22.8873,-43.58736
320,COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COSMOS,"RUA PEQUIA, 97",-22.91097,-43.61605
144,EM ALFREDO CESARIO ALVIM,CAMPO GRANDE,"RUAA RUAO DA PRATA, RUA LUISA MARILAC, 20",-22.92315,-43.51877
534,EM CORA CORALINA,CAMPO GRANDE,RUAA VOTORANTIM S/N KM 10 MENDANHA,-22.85878,-43.53705
342,E.M FERNANDO COSTA,CAMPO GRANDE,"RUAA JOSE ALBANO, S/NO",-22.89036,-43.59399
052,E.M PROFESSOR PAULO SILVA,INHOAIBA,RUAA JAIRO CORREA S/NO,-22.90859,-43.58474
139,EM JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO 138,-22.91959,-43.54684
323,CIEP ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO S/NDEG,-22.93416,-43.66213
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUAA CABO SAULO DE VASCONCELOS S/N.O,-22.88855,-43.63805
560,EM ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUAA FELIPE CARDOSO 750,-22.92139,-43.68058
246,EM FERNANDO AZEVEDO,SANTA CRUZ,RUAA DAS PALMEIRAS IMPERIAIS S/NO,-22.92306,-43.69233
319,EM MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUAA PORTO FIRME S/N.O,-22.92485,-43.63289
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUAA JOSE BALDINO S/N.O,-22.97174,-43.69735
311,EM PESTALOZZI,SANTA CRUZ,RUAA SEVERIANO DAS CHAGAS S/NO,-22.91572,-43.67975
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUAA EUDALDO GOMES DA SILVA S/N.O CONJ URUCANIA,-22.91403,-43.65344
497,E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS S/N.O,-22.87319,-43.62773
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 S/N.O CONJ. CESARAO,-22.93011,-43.6529
068,EM WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA S/N BLOCO 1,-22.95601,-43.68675
515,CIEP HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,"ESTRADA DA PEDRA, S/N.O",-22.97451,-43.64817
289,EM BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI 2075,-22.97906,-43.67058
210,EM DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUAA BELCHIOR DA FONSECA 643,-23.00142,-43.63876
474,EM ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.183,-22.98046,-43.64354
301,EM JONATAS SERRANO,GUARATIBA,"ESTRADA DO MATO ALTO, S/NO",-22.95316,-43.57741
215,E.M. NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO S/N.O,-23.00908,-43.53758
606,EM PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ 4406,-22.99412,-43.59368
